ID,Gender,Location,Employment_Type,Work_Format,Company_Size,Experience_Level,Sector,Position,Average_Salary,J,L,Average_Salary_Numeric
78,Kadın,Türkiye,Tam zamanlı,Uzaktan,100-149,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,React Native Developer,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
79,Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılımcı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
80,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Data Governance Specialist,61.000-70.000 TL,51.000-70.000 TL,%21-%35,65500.0
81,Kadın,Yurt dışı,Tam zamanlı,Uzaktan,1-49,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Frontend And Design,41.000-50.000 TL,Ek gelirim yok,%5-%10,45500.0
82,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Rpa Developer,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
83,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Digital Marketing Specialist,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
84,Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Mobile Developer,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
85,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Sales Development Representative,21.000-30.000 TL,Ek gelirim yok,%5-%10,25500.0
86,Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İş Geliştirme Uzmanı,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
87,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Frontend Developer,10.000-20.000 TL,Ek gelirim yok,Henuz belli degil,15000.0
88,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Analist,81.000-90.000 TL,71.000-90.000 TL,%11-%20,85500.0
90,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Proje Sorumlusu,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
91,Erkek,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Frontend Developer,21.000-30.000 TL,71.000-90.000 TL,%5-%10,25500.0
92,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Uzman Yardımcısı,41.000-50.000 TL,111.000-150.000 TL,%11-%20,45500.0
93,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Business Analyst,51.000-60.000 TL,Ek gelirim yok,Almadım,55500.0
94,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Senior Marketing Communications Specialist,61.000-70.000 TL,Ek gelirim yok,%21-%35,65500.0
95,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Junior Business Intelligence Consultant,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
96,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Sap Basis Danismani,61.000-70.000 TL,Ek gelirim yok,%21-%35,65500.0
97,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Iş Analisti,51.000-60.000 TL,91.000-110.000 TL,%11-%20,55500.0
98,Erkek,Türkiye,Tam zamanlı,Ofiste,100-149,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Destek Uzmanı,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
99,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Business Analyst,51.000-60.000 TL,31.000-50.000 TL,%21-%35,55500.0
100,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Project Manager,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
101,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Data Engineer,61.000-70.000 TL,Ek gelirim yok,%36-%50,65500.0
102,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,9-12 Yıl,Bilgi Teknolojileri ve Yazılım,Satış Müdürü,91.000-100.000 TL,20.000-30.000 TL,Almadım,95500.0
103,Kadın,Türkiye,Tam zamanlı,Uzaktan,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Müşteri Hizmetleri,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
104,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Bt Risk Ve Uyum Uzman Yardımcısı,41.000-50.000 TL,20.000-30.000 TL,%11-%20,45500.0
105,Kadın,Türkiye,Tam zamanlı,Uzaktan,50-99,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Senior Data Scientist,91.000-100.000 TL,Ek gelirim yok,%11-%20,95500.0
106,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Erp Danışmanı,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
107,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Grafik Tasarım Uzmanı,31.000-40.000 TL,Ek gelirim yok,%51-%70,35500.0
108,Kadın,Türkiye,Tam zamanlı,Ofiste,150-199,7-9 Yıl,Bilgi Teknolojileri ve Yazılım,Arge Mühendisi,41.000-50.000 TL,Ek gelirim yok,%11-%20,45500.0
109,Kadın,Türkiye,Tam zamanlı,Hybrid,150-199,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Product Developer,41.000-50.000 TL,Ek gelirim yok,Almadım,45500.0
110,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Product Owner,41.000-50.000 TL,Ek gelirim yok,%11-%20,45500.0
111,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Data Analysis,61.000-70.000 TL,51.000-70.000 TL,%11-%20,65500.0
112,Kadın,Türkiye,Tam zamanlı,Hybrid,100-149,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Data Engineer,41.000-50.000 TL,Ek gelirim yok,Henuz belli degil,45500.0
113,Erkek,Türkiye,Tam zamanlı,Hybrid,50-99,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,İş Zekası Uzmanı,31.000-40.000 TL,Ek gelirim yok,%36-%50,35500.0
114,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Web Developer,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
115,Erkek,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Business Development Specialist,41.000-50.000 TL,Ek gelirim yok,%21-%35,45500.0
116,Erkek,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Mühendisi,71.000-80.000 TL,Ek gelirim yok,%11-%20,75500.0
117,Kadın,Türkiye,Tam zamanlı,Hybrid,50-99,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Danışmanı,51.000-60.000 TL,Ek gelirim yok,%21-%35,55500.0
118,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Application Engineer,81.000-90.000 TL,71.000-90.000 TL,%11-%20,85500.0
119,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Erp Uygulama Danışmanı,31.000-40.000 TL,Ek gelirim yok,%11-%20,35500.0
120,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Veri Analizi,21.000-30.000 TL,Ek gelirim yok,%5-%10,25500.0
121,Erkek,Türkiye,Tam zamanlı,Ofiste,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Geliştirme Uzmanı,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
122,Erkek,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,IT Specialist,10.000-20.000 TL,Ek gelirim yok,Almadım,15000.0
124,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Geliştirici Ve Satış Uzmanı,10.000-20.000 TL,150.000 TL ve üstü,Almadım,15000.0
125,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Pazarlama Ve Kurumsal İletişim Uzmanı,51.000-60.000 TL,Ek gelirim yok,%11-%20,55500.0
126,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Is Analisti,41.000-50.000 TL,Ek gelirim yok,%36-%50,45500.0
127,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,7-9 Yıl,Bilgi Teknolojileri ve Yazılım,Kıdemli Iş Analisti Ve Proje Yöneticisi,41.000-50.000 TL,20.000-30.000 TL,%11-%20,45500.0
128,Kadın,Türkiye,Tam zamanlı,Ofiste,50-99,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Data Analyst,41.000-50.000 TL,Ek gelirim yok,%11-%20,45500.0
129,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,5-7 Yıl,Bilgi Teknolojileri ve Yazılım,Project Manager,71.000-80.000 TL,31.000-50.000 TL,%21-%35,75500.0
130,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,3-5 Yıl,Bilgi Teknolojileri ve Yazılım,Yazılım Proje Yöneticisi,71.000-80.000 TL,Ek gelirim yok,Almadım,75500.0
131,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Grafik Tasarım,21.000-30.000 TL,Ek gelirim yok,%21-%35,25500.0
132,Erkek,Türkiye,Tam zamanlı,Hybrid,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Veri Mühendisi,51.000-60.000 TL,Ek gelirim yok,%51-%70,55500.0
133,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Erp Uzman Yardimcisi,31.000-40.000 TL,31.000-50.000 TL,Henuz belli degil,35500.0
134,Kadın,Türkiye,Tam zamanlı,Ofiste,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Danışmanlık,41.000-50.000 TL,Ek gelirim yok,%5-%10,45500.0
135,Kadın,Türkiye,Tam zamanlı,Hybrid,200 ve ustu,7-9 Yıl,Bilgi Teknolojileri ve Yazılım,Satış Analiz Yöneticisi,61.000-70.000 TL,150.000 TL ve üstü,%11-%20,65500.0
136,Kadın,Türkiye,Tam zamanlı,Hybrid,1-49,0-1 Yıl,Bilgi Teknolojileri ve Yazılım,Yönetici Asistanı,31.000-40.000 TL,Ek gelirim yok,Almadım,35500.0
137,Kadın,Türkiye,Tam zamanlı,Uzaktan,1-49,1-3 Yıl,Bilgi Teknolojileri ve Yazılım,Associate Product Manager,21.000-30.000 TL,Ek gelirim yok,Almadım,25500.0
